Returned,Order ID,Region
Yes,CA-2024-BD11605140-41742,Southern US
Yes,IN-2022-VD2167059-41269,Southeastern Asia
Yes,ES-2025-MY17380120-42316,Southern Europe
Yes,CA-2025-LC16870140-42091,Southern US
Yes,IN-2022-TR2132527-41188,Eastern Asia
Yes,IN-2024-JC1538558-41815,Southern Asia
Yes,MX-2022-NG1843018-41201,South America
Yes,EG-2025-DM301538-42367,North Africa
Yes,BU-2024-CS186019-41993,Eastern Europe
Yes,ID-2024-CT11995118-41810,Eastern Asia
Yes,IN-2022-EH139907-41140,Oceania
Yes,CA-2022-RD19585140-41000,Southern US
Yes,CA-2025-CW11905140-42138,Eastern US
Yes,MX-2024-NC1862593-41955,Central America
Yes,MX-2023-RB1936082-41552,Central America
Yes,IN-2022-AS1028527-41034,Eastern Asia
Yes,IN-2024-AO108107-41721,Oceania
Yes,MX-2025-HG1484536-42070,Caribbean
Yes,ID-2025-JE1561097-42193,Southern Asia
Yes,ES-2024-CY1274564-41726,Southern Europe
Yes,IR-2024-SM1095060-41746,Southern Asia
Yes,US-2022-PB1915055-41157,Central America
Yes,ES-2024-JB1600048-41856,Western Europe
Yes,ES-2025-JC1577548-42328,Western Europe
Yes,IT-2024-LP1708091-41907,Western Europe
Yes,MX-2022-ME1732018-41164,South America
Yes,CA-2024-TS21655140-41999,Southern US
Yes,ES-2025-SV20935139-42369,Northern Europe
Yes,MX-2025-CJ12010141-42298,South America
Yes,CA-2022-SH20395140-41214,Western US
Yes,IN-2023-GM1445527-41622,Eastern Asia
Yes,CA-2023-MS17530140-41579,Southern US
Yes,US-2023-HD1478598-41583,Central America
Yes,US-2025-CB1202582-42305,Central America
Yes,CA-2025-BH11710140-42346,Southern US
Yes,MX-2022-MO1750016-41222,South America
Yes,ES-2022-MG17890139-41257,Northern Europe
Yes,CA-2023-PO19195140-41598,Eastern US
Yes,ES-2025-KW1643545-42032,Western Europe
Yes,CA-2023-SS20515140-41479,Southern US
Yes,MX-2022-RL1961539-40965,Central America
Yes,MX-2024-SZ2003531-41822,Caribbean
Yes,ID-2023-BT115307-41508,Oceania
Yes,MX-2022-TG2131018-41132,South America
Yes,CA-2022-TT21070140-41159,Southern US
Yes,CA-2025-TS21505140-42316,Western US
Yes,ES-2023-AW1084064-41519,Southern Europe
Yes,CA-2025-DV13045140-42350,Southern US
Yes,ES-2025-BP11185139-42175,Northern Europe
Yes,US-2025-EB13930140-42208,Central US
Yes,ES-2024-RS1942048-41831,Western Europe
Yes,CG-2022-MM828033-40983,Central Africa
Yes,MX-2023-JD1589536-41523,Caribbean
Yes,IN-2024-DB1291027-41870,Eastern Asia
Yes,ES-2024-DV1346564-41961,Southern Europe
Yes,MX-2025-JK1564055-42174,Central America
Yes,CA-2025-LW17215140-42106,Western US
Yes,MX-2022-PM1894031-41208,Caribbean
Yes,BU-2022-EH394519-41265,Eastern Europe
Yes,MX-2022-VM2183551-41185,Central America
Yes,CA-2022-AZ10750140-40992,Eastern US
Yes,IT-2025-KB1631564-42301,Southern Europe
Yes,IT-2025-EK13795139-42277,Northern Europe
Yes,ID-2025-AS1009058-42316,Southern Asia
Yes,MX-2025-MC1742593-42304,Central America
Yes,MX-2024-DW1358531-41779,Caribbean
Yes,ES-2025-AB1016545-42356,Western Europe
Yes,MX-2025-DG1330093-42319,Central America
Yes,MX-2023-SW2027536-41587,Caribbean
Yes,MX-2025-SP2065082-42257,Central America
Yes,IN-2024-CC125507-41963,Oceania
Yes,ES-2025-CW11905139-42288,Northern Europe
Yes,ZA-2025-SW10350146-42061,Eastern Africa
Yes,IN-2025-PR1888027-42125,Eastern Asia
Yes,ES-2024-DB1327045-41689,Western Europe
Yes,ES-2022-PM1894045-41145,Western Europe
Yes,CA-2023-AG10495140-41571,Central US
Yes,ES-2022-CD1198048-41151,Western Europe
Yes,ES-2025-SF20200139-42229,Northern Europe
Yes,MX-2022-BD1150093-41041,Central America
Yes,ES-2025-BE11410120-42225,Southern Europe
Yes,BN-2022-RW963015-41216,Western Africa
Yes,US-2024-HP148155-41906,South America
Yes,ES-2025-BF11170139-42174,Northern Europe
Yes,IN-2025-DB129707-42152,Oceania
Yes,CA-2022-EH13765140-41199,Eastern US
Yes,IN-2022-BB115457-41194,Oceania
Yes,IN-2022-SG206057-40978,Oceania
Yes,IN-2025-RH1951011-42040,Southern Asia
Yes,ZA-2024-JW6075146-41739,Eastern Africa
Yes,ES-2022-JA15970139-41080,Northern Europe
Yes,IN-2022-JR1567027-41031,Eastern Asia
Yes,ES-2023-JE1547545-41450,Western Europe
Yes,IT-2024-LS1720064-41954,Southern Europe
Yes,IN-2024-CA1226527-41794,Eastern Asia
Yes,UP-2024-AA645137-41807,Eastern Europe
Yes,NI-2024-MH745595-41696,Western Africa
Yes,ID-2025-EJ1415592-42299,Oceania
Yes,ID-2024-KD1649559-41807,Southeastern Asia
Yes,ES-2024-DK1298548-41711,Western Europe
Yes,BU-2024-MH745519-41670,Eastern Europe
Yes,ID-2025-NR18550102-42078,Southeastern Asia
Yes,IN-2022-JH1591027-41262,Eastern Asia
Yes,IN-2022-JL151307-40988,Oceania
Yes,IT-2025-AG1049545-42229,Western Europe
Yes,CA-2024-JF15565140-41686,Eastern US
Yes,IN-2024-SH2063527-41858,Eastern Asia
Yes,IN-2025-LD1700558-42285,Southern Asia
Yes,LO-2022-JL5850114-41121,Eastern Europe
Yes,BO-2024-KH636013-41859,Eastern Europe
Yes,US-2023-EM1382555-41579,Central America
Yes,IT-2025-MB1808591-42145,Western Europe
Yes,SF-2024-EL3735117-41875,Southern Africa
Yes,TU-2024-JF5565134-41818,Western Asia
Yes,MX-2024-BM1114055-41961,Central America
Yes,TU-2025-SW10275134-42311,Western Asia
Yes,ES-2024-SS208758-41683,Western Europe
Yes,US-2024-BW1120018-41979,South America
Yes,IN-2023-TD20995130-41609,Southeastern Asia
Yes,ES-2025-KB1660096-42048,Northern Europe
Yes,IN-2025-Dl1360058-42364,Southern Asia
Yes,ES-2024-MB18085139-41956,Northern Europe
Yes,IT-2025-AR10345139-42116,Northern Europe
Yes,IN-2023-JG1531027-41602,Eastern Asia
Yes,ES-2024-MC1810045-41982,Western Europe
Yes,CA-2025-HG15025140-42363,Eastern US
Yes,MO-2025-AB25586-42117,North Africa
Yes,US-2022-CS1246036-41247,Caribbean
Yes,ES-2024-JD1606045-41699,Western Europe
Yes,MX-2023-EM1381018-41552,South America
Yes,MX-2025-MY1829582-42321,Central America
Yes,CA-2025-KH16330140-42329,Eastern US
Yes,ES-2024-MG18205139-41867,Northern Europe
Yes,CA-2025-DO13645140-42343,Eastern US
Yes,IN-2024-ML177557-41922,Oceania
Yes,SA-2025-AR570110-42299,Western Asia
Yes,US-2025-LH16900140-42348,Central US
Yes,CA-2025-JE15745140-42111,Western US
Yes,CA-2023-MV17485140-41450,Central US
Yes,IT-2022-KH16690104-41037,Southern Europe
Yes,IN-2025-SL2015558-42222,Southern Asia
Yes,MX-2022-KM1672018-41242,South America
Yes,ID-2024-DB132107-41934,Oceania
Yes,IN-2022-CM1223527-41248,Eastern Asia
Yes,IN-2024-BD116207-41650,Oceania
Yes,CA-2025-OT18730140-42304,Southern US
Yes,AO-2023-JE57454-41544,Central Africa
Yes,EG-2024-SC1009538-41847,North Africa
Yes,ID-2023-GZ144707-41467,Oceania
Yes,ES-2025-MJ17740139-42073,Northern Europe
Yes,IR-2024-MM805560-41990,Southern Asia
Yes,IT-2024-TP2141545-41858,Western Europe
Yes,ID-2023-TG21640102-41508,Southeastern Asia
Yes,IN-2024-LS172307-41954,Oceania
Yes,IN-2022-GM1444058-41200,Southern Asia
Yes,TU-2022-AJ960134-40990,Western Asia
Yes,CA-2024-PF19225140-41817,Southern US
Yes,IN-2024-TB2162558-41724,Southern Asia
Yes,MX-2022-ND1837082-41223,Central America
Yes,ID-2025-MG1814592-42132,Oceania
Yes,CA-2024-CA12265140-41677,Southern US
Yes,SF-2022-MH7440117-41065,Southern Africa
Yes,MX-2022-AB1015093-41101,Central America
Yes,IZ-2025-EM396061-42110,Western Asia
Yes,IN-2025-AW1084058-42083,Southern Asia
Yes,ES-2025-PS1897045-42179,Western Europe
Yes,ES-2023-WB2185064-41587,Southern Europe
Yes,CA-2025-NC18535140-42096,Western US
Yes,MX-2024-LS1697518-41666,South America
Yes,IN-2022-SB2018559-41157,Southeastern Asia
Yes,ML-2024-BD177079-41893,Western Africa
Yes,MX-2025-CM1244582-42354,Central America
Yes,MX-2022-AW1084082-41192,Central America
Yes,MX-2025-CL1270093-42180,Central America
Yes,CA-2025-CC12475140-42278,Eastern US
Yes,MX-2024-AH1069093-41990,Central America
Yes,AO-2023-SF102004-41628,Central Africa
Yes,MX-2024-SZ2003518-41703,South America
Yes,EG-2025-RA994538-42342,North Africa
Yes,TU-2025-AG495134-42130,Western Asia
Yes,IN-2022-PR1888058-41013,Southern Asia
Yes,ES-2025-CS1235548-42010,Western Europe
Yes,IN-2025-MH1811558-42185,Southern Asia
Yes,IN-2025-JP1546058-42258,Southern Asia
Yes,IR-2025-CA196560-42201,Southern Asia
Yes,MX-2023-AF1087026-41536,South America
Yes,US-2022-JF15490140-41269,Western US
Yes,IN-2025-PS18760102-42263,Southeastern Asia
Yes,ES-2024-KT1646548-41678,Western Europe
Yes,ES-2024-MC1760548-41900,Western Europe
Yes,MX-2024-BE1145531-41650,Caribbean
Yes,CA-2025-BP11095140-42352,Eastern US
Yes,CG-2024-ML775533-41740,Central Africa
Yes,ID-2024-CV1280527-41773,Eastern Asia
Yes,SA-2023-RF9840110-41277,Western Asia
Yes,SF-2022-AG675117-40976,Southern Africa
Yes,US-2025-CR12820140-42284,Eastern US
Yes,ES-2023-MB1808545-41629,Western Europe
Yes,IN-2025-SC20260130-42032,Southeastern Asia
Yes,IN-2022-TS211607-41179,Oceania
Yes,IZ-2025-MO795061-42271,Western Asia
Yes,MX-2024-LL1684039-41853,Central America
Yes,ES-2023-EB14110139-41528,Northern Europe
Yes,CA-2025-BT11530140-42278,Western US
Yes,ES-2023-LC1714064-41409,Southern Europe
Yes,US-2023-DG13300140-41458,Eastern US
Yes,CA-2024-IG15085140-41808,Western US
Yes,ES-2025-LO17170139-42166,Northern Europe
Yes,IN-2025-SS2059059-42364,Southeastern Asia
Yes,AG-2024-CP20853-41889,North Africa
Yes,US-2022-AB1025582-40928,Central America
Yes,TU-2024-PK8910134-41798,Western Asia
Yes,IT-2025-JW1522091-42234,Western Europe
Yes,CA-2023-RH19510140-41544,Western US
Yes,ES-2024-DM13015120-41856,Southern Europe
Yes,NI-2023-JB600095-41621,Western Africa
Yes,US-2025-TC2114555-42166,Central America
Yes,IT-2023-DJ1351064-41352,Southern Europe
Yes,IN-2022-DB131207-41257,Oceania
Yes,IZ-2025-EH412561-42161,Western Asia
Yes,US-2023-KB16315140-41318,Eastern US
Yes,CA-2025-CV12805140-42025,Eastern US
Yes,MX-2025-AG1052518-42357,South America
Yes,IN-2022-MP179657-41242,Oceania
Yes,IN-2025-PG1882097-42251,Southern Asia
Yes,ES-2022-SW2024548-41073,Western Europe
Yes,IT-2022-MC1742548-41177,Western Europe
Yes,TU-2022-CS1845134-41235,Western Asia
Yes,CA-2025-SC20725140-42182,Eastern US
Yes,ES-2025-TP21415139-42251,Northern Europe
Yes,CA-2025-RA19915140-42357,Western US
Yes,ES-2024-SV2093545-41674,Western Europe
Yes,KZ-2025-RM975068-42228,Central Asia
Yes,KG-2025-RH955570-42340,Central Asia
Yes,IT-2025-JS1603045-42229,Western Europe
Yes,CA-2025-LW16990140-42336,Western US
Yes,IN-2025-SS2059059-42236,Southeastern Asia
Yes,IN-2022-LH1715559-40968,Southeastern Asia
Yes,US-2025-TT21220140-42186,Western US
Yes,SF-2025-RS9765117-42224,Southern Africa
Yes,ID-2024-JF153557-41649,Oceania
Yes,IT-2024-CA12310139-41961,Northern Europe
Yes,ES-2025-SL2015545-42335,Western Europe
Yes,IT-2024-DB1312091-41894,Western Europe
Yes,IT-2025-DB13555139-42063,Northern Europe
Yes,CA-2022-DB13360140-41231,Western US
Yes,CA-2023-NW18400140-41599,Western US
Yes,MX-2023-TB2128039-41278,Central America
Yes,ES-2022-JC1577548-41195,Western Europe
Yes,ES-2022-KB162408-41191,Western Europe
Yes,IN-2024-VF2171527-41819,Eastern Asia
Yes,MO-2025-AB60086-42173,North Africa
Yes,ID-2022-LH1715592-41091,Oceania
Yes,ES-2024-BP11230139-41970,Northern Europe
Yes,IN-2025-DF1313559-42360,Southeastern Asia
Yes,ES-2025-DK13375139-42082,Northern Europe
Yes,US-2025-RM197505-42122,South America
Yes,CA-2025-EH14125140-42035,Western US
Yes,IN-2023-DR12880144-41384,Southeastern Asia
Yes,IN-2025-RH196007-42179,Oceania
Yes,ES-2025-JW152208-42033,Western Europe
Yes,CA-2023-GB14530140-41583,Southern US
Yes,IN-2025-NK1849058-42154,Southern Asia
Yes,CA-2025-TD20995140-42118,Eastern US
Yes,MX-2024-JR1570039-41955,Central America
Yes,ID-2024-TB21280130-41884,Southeastern Asia
Yes,NG-2023-NB858094-41469,Western Africa
Yes,CA-2025-EP13915140-42316,Eastern US
Yes,ID-2025-JC1538592-42039,Oceania
Yes,ES-2024-AH10585139-41920,Northern Europe
Yes,MX-2025-CR1273051-42262,Central America
Yes,ES-2022-AB1016545-40957,Western Europe
Yes,ES-2024-AG1039045-41685,Western Europe
